temp,phi,phip,kf
350.0999068,0.50960617,0.001,38.85102463
350.0977665,0.51120216,0.001,38.88815308
350.0979504,0.51279453,0.001,38.86255836
350.1006109,0.51438363,0.001,38.8551464
350.1057196,0.51597065,0.001,38.82300187
350.1129356,0.51755729,0.001,38.74437905
350.1215259,0.51914528,0.001,38.79362106
350.1304724,0.52073589,0.001,38.79061127
350.1387639,0.52232961,0.001,38.76062011
350.1457509,0.52392602,0.001,38.7590065
350.1513799,0.52552404,0.001,38.69919013
350.1561344,0.52712227,0.001,38.71276665
350.1606532,0.5287195,0.001,38.68353271
350.1652659,0.530315,0.001,38.67276001
350.1698307,0.53190875,0.001,38.63918304
350.1740099,0.5335012,0.001,38.64405823
350.1776626,0.53509306,0.001,38.62552452
350.1809291,0.53668496,0.001,38.61159325
350.1839363,0.5382774,0.001,38.61210632
350.1864253,0.53987076,0.001,38.5593071
350.1876947,0.54146534,0.001,38.54481315
350.1870215,0.54306133,0.001,38.53933716
350.1842842,0.54465862,0.001,38.51900672
350.1802497,0.54625674,0.001,38.46211243
350.1762764,0.54785486,0.001,38.50835801
350.1736932,0.54945199,0.001,38.44642258
350.1732411,0.55104729,0.001,38.41793823
350.174762,0.55264033,0.001,38.41609573
350.1772036,0.55423141,0.001,38.42531395
350.178994,0.55582143,0.001,38.37024689
350.1787095,0.55741152,0.001,38.40580559
350.1757225,0.55900244,0.001,38.36473847
350.1704413,0.56059428,0.001,38.35690308
350.1640233,0.56218658,0.001,38.32869149
350.1578552,0.56377874,0.001,38.28859711
350.1531472,0.56537036,0.001,38.29121018
350.1506789,0.56696132,0.001,38.23570061
350.1505803,0.56855186,0.001,38.27301979
350.1522731,0.57014252,0.001,38.23150444
350.1548204,0.57173394,0.001,38.20578957
350.1575424,0.57332655,0.001,38.24312783
350.1603265,0.57492036,0.001,38.19910622
350.1633053,0.57651513,0.001,38.18019485
350.1663021,0.5781105,0.001,38.16916275
350.1686991,0.57970608,0.001,38.11655998
350.1698562,0.58130137,0.001,38.12779426
350.1696114,0.58289586,0.001,38.11784554
350.1684321,0.58448929,0.001,38.11213684
350.1672107,0.58608169,0.001,38.05738258
350.1668817,0.58767332,0.001,38.07188225
350.1679823,0.58926455,0.001,38.0342617
350.1703284,0.59085585,0.001,38.06402969
350.1730699,0.59244761,0.001,38.00710105
350.1751594,0.59404002,0.001,37.99938774
350.1758909,0.59563293,0.001,38.00854492
350.1751273,0.59722609,0.001,38.01351166
350.1731773,0.59881923,0.001,37.94389725
350.170549,0.6004122,0.001,37.9626255
350.1677616,0.60200484,0.001,37.92564201
350.165229,0.60359689,0.001,37.9248867
350.1632134,0.60518815,0.001,37.90426826
350.1618727,0.60677871,0.001,37.90418625
350.1613168,0.60836909,0.001,37.85798073
350.1615245,0.60996016,0.001,37.86776733
350.1622156,0.61155279,0.001,37.85268784
350.1630183,0.61314731,0.001,37.8553257
350.1639874,0.61474318,0.001,37.83594322
350.1659459,0.61633905,0.001,37.83997345
350.170106,0.6179332,0.001,37.8118515
350.1771848,0.61952438,0.001,37.73924446
350.1868139,0.6211123,0.001,37.72641373
350.1977097,0.62269765,0.001,37.75178718
350.2083186,0.6242816,0.001,37.72898674
350.2173811,0.62586534,0.001,37.75124741
350.2240899,0.62744986,0.001,37.71924019
350.227842,0.62903616,0.001,37.68768311
350.2279052,0.63062532,0.001,37.70736885
350.2234978,0.63221828,0.001,37.6644516
350.214442,0.63381511,0.001,37.66950798
350.201884,0.6354146,0.001,37.69347954
350.1883288,0.63701455,0.001,37.68071747
350.1767401,0.63861285,0.001,37.61153031
350.1691886,0.64020846,0.001,37.53462982
350.1659081,0.64180173,0.001,37.55951882
350.1653966,0.64339378,0.001,37.56421661
350.1654605,0.64498564,0.001,37.56920052
350.1643668,0.64657781,0.001,37.55751609
350.1613339,0.64817034,0.001,37.53672982
350.1563834,0.64976319,0.001,37.50785446
350.1500446,0.65135629,0.001,37.48872185
350.1431617,0.65294944,0.001,37.46757888
350.136749,0.65454228,0.001,37.50838089
350.1318854,0.65613436,0.001,37.44685173
350.1296601,0.65772522,0.001,37.44532204
350.1310472,0.65931439,0.001,37.42311096
350.1365729,0.66090157,0.001,37.40883064
350.1458542,0.66248679,0.001,37.4178772
350.1573193,0.66407053,0.001,37.38973618
350.1684861,0.66565367,0.001,37.37574959
350.1768976,0.66723727,0.001,37.39116287
350.1812285,0.66882217,0.001,37.38580131
350.1817692,0.67040861,0.001,37.3393364
350.1799459,0.67199628,0.001,37.39606666
350.177339,0.6735846,0.001,37.31354523
350.1749733,0.67517318,0.001,37.31558227
350.1732137,0.67676186,0.001,37.30384064
350.1719588,0.67835069,0.001,37.28479386
350.1706835,0.67994005,0.001,37.28473663
350.1683149,0.68153094,0.001,37.27577591
350.1633071,0.68312494,0.001,37.23930169
350.1541305,0.68472375,0.001,37.22740174
350.1399523,0.68632831,0.001,37.24021912
375.1118927,5.50E-05,0.001,0.16797041
375.1351635,5.83E-05,0.001,0.19068424
375.1549786,6.24E-05,0.001,0.20277016
375.1706433,6.75E-05,0.001,0.20780531
375.1823751,7.36E-05,0.001,0.20981292
