group,temp,phi,phip,log10_epsp,kf
0,350.1811982477249,0.026107875311720697,0.001,-3.0,42.7884142959605
0,350.18116179944593,0.026237414688279302,0.001,-3.0,42.80336878822074
0,350.18112535116694,0.026366954064837904,0.001,-3.0,42.81832328048097
0,350.1810889028879,0.02649649344139651,0.001,-3.0,42.833277772741205
0,350.1810524546089,0.02662603281795511,0.001,-3.0,42.84823226500144
0,350.18101600632986,0.026755572194513716,0.001,-3.0,42.86318675726167
0,350.1809876,0.02685653,0.001,-3.0,42.87484169
0,350.18098695863614,0.026885111571072318,0.001,-3.0,42.87686870207
0,350.1809840518025,0.027014650947630923,0.001,-3.0,42.886055666606
0,350.1809811449689,0.027144190324189525,0.001,-3.0,42.895242631142
0,350.18097823813525,0.02727372970074813,0.001,-3.0,42.904429595678
0,350.1809753313016,0.02740326907730673,0.001,-3.0,42.913616560214
0,350.180972424468,0.027532808453865337,0.001,-3.0,42.92280352475001
0,350.18096951763437,0.02766234783042394,0.001,-3.0,42.93199048928601
0,350.18096661080074,0.027791887206982543,0.001,-3.0,42.941177453822014
0,350.1809637039671,0.027921426583541145,0.001,-3.0,42.95036441835801
0,350.1809607971335,0.02805096596009975,0.001,-3.0,42.95955138289402
0,350.18095789029985,0.028180505336658352,0.001,-3.0,42.96873834743002
0,350.18095498346617,0.028310044713216957,0.001,-3.0,42.977925311966025
0,350.1809523,0.02842963,0.001,-3.0,42.98640633
0,350.18095907769913,0.02843958408977556,0.001,-3.0,42.98667486184569
0,350.1810472805324,0.028569123466334164,0.001,-3.0,42.990169450367695
0,350.1811354833657,0.028698662842892766,0.001,-3.0,42.9936640388897
0,350.181223686199,0.02882820221945137,0.001,-3.0,42.9971586274117
0,350.1813118890323,0.028957741596009973,0.001,-3.0,43.0006532159337
0,350.1814000918656,0.029087280972568578,0.001,-3.0,43.00414780445571
0,350.1814882946989,0.029216820349127183,0.001,-3.0,43.007642392977715
0,350.1815764975322,0.029346359725685785,0.001,-3.0,43.011136981499725
0,350.1816647003655,0.02947589910224439,0.001,-3.0,43.01463157002173
0,350.1817529031988,0.02960543847880299,0.001,-3.0,43.01812615854374
0,350.18184110603204,0.029734977855361597,0.001,-3.0,43.02162074706574
0,350.18192930886534,0.0298645172319202,0.001,-3.0,43.02511533558775
0,350.1820175116986,0.029994056608478804,0.001,-3.0,43.02860992410975
0,350.1820245,0.03000432,0.001,-3.0,43.0288868
0,350.18218910471904,0.030123595985037405,0.001,-3.0,43.032633371415876
0,350.1823678732505,0.03025313536159601,0.001,-3.0,43.036702325659206
0,350.1825466417819,0.030382674738154612,0.001,-3.0,43.040771279902536
0,350.18272541031337,0.030512214114713217,0.001,-3.0,43.044840234145866
0,350.18290417884486,0.03064175349127182,0.001,-3.0,43.048909188389196
0,350.1830829473763,0.030771292867830424,0.001,-3.0,43.052978142632526
0,350.1832617159078,0.030900832244389026,0.001,-3.0,43.057047096875856
0,350.18344048443925,0.03103037162094763,0.001,-3.0,43.06111605111918
0,350.18361925297074,0.031159910997506233,0.001,-3.0,43.06518500536251
0,350.1837980215022,0.03128945037406484,0.001,-3.0,43.06925395960583
0,350.1839767900337,0.03141898975062344,0.001,-3.0,43.07332291384916
0,350.1841555585651,0.03154852912718204,0.001,-3.0,43.077391868092484
0,350.1841995,0.03158037,0.001,-3.0,43.07839202
0,350.1843475712073,0.03167806850374065,0.001,-3.0,43.083394004132764
0,350.1845439002313,0.03180760788029925,0.001,-3.0,43.09002618253166
0,350.1847402292553,0.031937147256857853,0.001,-3.0,43.096658360930554
0,350.1849365582793,0.032066686633416455,0.001,-3.0,43.10329053932946
0,350.18513288730327,0.032196226009975064,0.001,-3.0,43.10992271772836
0,350.18532921632726,0.032325765386533666,0.001,-3.0,43.116554896127255
0,350.18552554535125,0.03245530476309227,0.001,-3.0,43.12318707452615
0,350.18572187437525,0.03258484413965087,0.001,-3.0,43.12981925292505
0,350.18591820339924,0.03271438351620948,0.001,-3.0,43.13645143132395
0,350.18611453242323,0.03284392289276808,0.001,-3.0,43.14308360972285
0,350.1863108614472,0.03297346226932668,0.001,-3.0,43.149715788121746
0,350.1865071904712,0.03310300164588528,0.001,-3.0,43.15634796652065
0,350.18659,0.03315764,0.001,-3.0,43.15914535
0,350.18665439327725,0.03323254102244389,0.001,-3.0,43.162092533821486
0,350.1867657597809,0.03336208039900249,0.001,-3.0,43.167189611836996
0,350.1868771262845,0.033491619775561095,0.001,-3.0,43.172286689852506
0,350.1869884927882,0.0336211591521197,0.001,-3.0,43.177383767868015
0,350.18709985929183,0.033750698528678305,0.001,-3.0,43.182480845883525
0,350.1872112257955,0.03388023790523691,0.001,-3.0,43.18757792389904
0,350.18732259229915,0.03400977728179551,0.001,-3.0,43.19267500191455
0,350.18743395880284,0.03413931665835412,0.001,-3.0,43.19777207993007
0,350.1875453253065,0.03426885603491272,0.001,-3.0,43.20286915794558
0,350.18765669181016,0.03439839541147132,0.001,-3.0,43.207966235961095
0,350.1877680583138,0.03452793478802992,0.001,-3.0,43.213063313976605
0,350.1878794248175,0.03465747416458853,0.001,-3.0,43.21816039199212
0,350.1879469,0.03473596,0.001,-3.0,43.22124863
0,350.1879320213732,0.03478701354114713,0.001,-3.0,43.22453049847136
0,350.1878942694758,0.034916552917705734,0.001,-3.0,43.2328576621935
0,350.1878565175785,0.035046092294264336,0.001,-3.0,43.24118482591564
0,350.18781876568113,0.035175631670822945,0.001,-3.0,43.24951198963778
0,350.1877810137838,0.035305171047381546,0.001,-3.0,43.25783915335992
0,350.18774326188645,0.03543471042394015,0.001,-3.0,43.26616631708206
0,350.18770550998914,0.03556424980049875,0.001,-3.0,43.274493480804196
0,350.1876677580918,0.03569378917705736,0.001,-3.0,43.28282064452634
0,350.18763000619447,0.03582332855361596,0.001,-3.0,43.29114780824848
0,350.1875922542971,0.03595286793017456,0.001,-3.0,43.29947497197062
0,350.1875545023998,0.036082407306733164,0.001,-3.0,43.307802135692754
0,350.1875167505024,0.03621194668329177,0.001,-3.0,43.3161292994149
0,350.1874867,0.03631506,0.001,-3.0,43.32275772
0,350.18745354299654,0.036341486059850374,0.001,-3.0,43.32274578572055
0,350.1872910088319,0.036471025436408976,0.001,-3.0,43.32268728441053
0,350.18712847466725,0.03660056481296758,0.001,-3.0,43.322628783100505
0,350.18696594050266,0.036730104189526186,0.001,-3.0,43.32257028179048
0,350.186803406338,0.03685964356608479,0.001,-3.0,43.32251178048046
0,350.1866408721734,0.03698918294264339,0.001,-3.0,43.32245327917044
0,350.1864783380088,0.03711872231920199,0.001,-3.0,43.322394777860424
0,350.1863158038442,0.0372482616957606,0.001,-3.0,43.3223362765504
0,350.18615326967955,0.0373778010723192,0.001,-3.0,43.32227777524039
0,350.18599073551496,0.0375073404488778,0.001,-3.0,43.322219273930365
0,350.1858282013503,0.03763687982543641,0.001,-3.0,43.32216077262035
0,350.18566566718573,0.03776641920199501,0.001,-3.0,43.32210227131033
0,350.1855048,0.03789463,0.001,-3.0,43.32204437
0,350.18550298112723,0.037895958578553615,0.001,-3.0,43.32205114998308
0,350.18532563696755,0.03802549795511222,0.001,-3.0,43.32271221347779
0,350.18514829280787,0.038155037331670826,0.001,-3.0,43.323373276972504
0,350.1849709486482,0.03828457670822943,0.001,-3.0,43.324034340467215
0,350.1847936044885,0.03841411608478803,0.001,-3.0,43.324695403961925
0,350.1846162603288,0.03854365546134663,0.001,-3.0,43.32535646745663
0,350.18443891616914,0.03867319483790524,0.001,-3.0,43.32601753095134
0,350.18426157200946,0.03880273421446384,0.001,-3.0,43.326678594446044
0,350.1840842278498,0.03893227359102244,0.001,-3.0,43.327339657940755
0,350.1839068836901,0.039061812967581044,0.001,-3.0,43.32800072143546
0,350.1837295395304,0.03919135234413965,0.001,-3.0,43.32866178493017
0,350.18355219537074,0.039320891720698255,0.001,-3.0,43.32932284842487
0,350.18337485121106,0.039450431097256856,0.001,-3.0,43.329983911919584
0,350.1833419,0.0394745,0.001,-3.0,43.33010674
0,350.18329745590034,0.03957997047381546,0.001,-3.0,43.33631691224573
0,350.1832428694293,0.03970950985037407,0.001,-3.0,43.343944277629916
0,350.18318828295827,0.03983904922693267,0.001,-3.0,43.351571643014104
0,350.18313369648723,0.03996858860349127,0.001,-3.0,43.35919900839829
0,350.1830791100162,0.04009812798004987,0.001,-3.0,43.36682637378248
0,350.18302452354516,0.04022766735660848,0.001,-3.0,43.37445373916667
0,350.1829699370741,0.04035720673316708,0.001,-3.0,43.382081104550856
0,350.1829153506031,0.040486746109725684,0.001,-3.0,43.38970846993504
0,350.18286076413204,0.040616285486284286,0.001,-3.0,43.397335835319225
